Token -> Lexema: var | Tipo: Palavra Reservada | Linha: 1 | Coluna: 1
Token -> Lexema: ( | Tipo: Delimitador | Linha: 7 | Coluna: 7
Token -> Lexema: ( | Tipo: Delimitador | Linha: 7 | Coluna: 8
Token -> Lexema: a | Tipo: Identificador | Linha: 7 | Coluna: 9
Token -> Lexema: > | Tipo: Operador Relacional | Linha: 7 | Coluna: 10
Token -> Lexema: b | Tipo: Identificador | Linha: 7 | Coluna: 11
Token -> Lexema: ) | Tipo: Delimitador | Linha: 7 | Coluna: 12
Token -> Lexema: e | Tipo: Operador Logico | Linha: 7 | Coluna: 13
Token -> Lexema: ( | Tipo: Delimitador | Linha: 7 | Coluna: 14
Token -> Lexema: b | Tipo: Identificador | Linha: 7 | Coluna: 15
Token -> Lexema: > | Tipo: Operador Relacional | Linha: 7 | Coluna: 16
Token -> Lexema: g | Tipo: Identificador | Linha: 7 | Coluna: 17
Token -> Lexema: ) | Tipo: Delimitador | Linha: 7 | Coluna: 18
Token -> Lexema: ) | Tipo: Delimitador | Linha: 7 | Coluna: 19
Token -> Lexema: entao | Tipo: Palavra Reservada | Linha: 7 | Coluna: 21
Token -> Lexema: inicio | Tipo: Palavra Reservada | Linha: 8 | Coluna: 5
Token -> Lexema: leia | Tipo: Palavra Reservada | Linha: 10 | Coluna: 6
Token -> Lexema: ( | Tipo: Delimitador | Linha: 10 | Coluna: 10
Token -> Lexema: a | Tipo: Identificador | Linha: 10 | Coluna: 11
Token -> Lexema: , | Tipo: Delimitador | Linha: 10 | Coluna: 12
Token -> Lexema: b | Tipo: Identificador | Linha: 10 | Coluna: 13
Token -> Lexema: / | Tipo: Operador Aritmetico | Linha: 10 | Coluna: 14
Token -> Lexema: * | Tipo: Operador Aritmetico | Linha: 10 | Coluna: 15
Token -> Lexema: 5 | Tipo: Digito | Linha: 10 | Coluna: 16
Token -> Lexema: * | Tipo: Operador Aritmetico | Linha: 10 | Coluna: 17
Token -> Lexema: / | Tipo: Operador Aritmetico | Linha: 10 | Coluna: 18
Token -> Lexema: ) | Tipo: Delimitador | Linha: 10 | Coluna: 19
Token -> Lexema: ; | Tipo: Delimitador | Linha: 10 | Coluna: 20
Token -> Lexema: a | Tipo: Identificador | Linha: 11 | Coluna: 6
Token -> Lexema: ( | Tipo: Delimitador | Linha: 11 | Coluna: 7
Token -> Lexema: ) | Tipo: Delimitador | Linha: 11 | Coluna: 8
Token -> Lexema: ; | Tipo: Delimitador | Linha: 11 | Coluna: 9
Token -> Lexema: fim | Tipo: Palavra Reservada | Linha: 13 | Coluna: 5
Token -> Lexema: senao | Tipo: Palavra Reservada | Linha: 14 | Coluna: 5
Token -> Lexema: inicio | Tipo: Palavra Reservada | Linha: 15 | Coluna: 5
Token -> Lexema: escreva | Tipo: Palavra Reservada | Linha: 16 | Coluna: 9
Token -> Lexema: ( | Tipo: Delimitador | Linha: 16 | Coluna: 16
Token -> Lexema: "asdjaks" | Tipo: Cadeia de caracteres | Linha: 16 | Coluna: 17
Token -> Lexema: ) | Tipo: Delimitador | Linha: 16 | Coluna: 26
Token -> Lexema: ; | Tipo: Delimitador | Linha: 16 | Coluna: 27
Token -> Lexema: fim | Tipo: Palavra Reservada | Linha: 17 | Coluna: 5
Token -> Lexema: enquanto | Tipo: Palavra Reservada | Linha: 18 | Coluna: 5
Token -> Lexema: ( | Tipo: Delimitador | Linha: 18 | Coluna: 13
Token -> Lexema: nao | Tipo: Operador Logico | Linha: 18 | Coluna: 14
Token -> Lexema: a | Tipo: Identificador | Linha: 18 | Coluna: 18
Token -> Lexema: e | Tipo: Operador Logico | Linha: 18 | Coluna: 20
Token -> Lexema: b | Tipo: Identificador | Linha: 18 | Coluna: 22
Token -> Lexema: ) | Tipo: Delimitador | Linha: 18 | Coluna: 23
Token -> Lexema: faca | Tipo: Palavra Reservada | Linha: 18 | Coluna: 25
Token -> Lexema: inicio | Tipo: Palavra Reservada | Linha: 19 | Coluna: 5
Token -> Lexema: A | Tipo: Identificador | Linha: 20 | Coluna: 9
Token -> Lexema: = | Tipo: Operador Relacional | Linha: 20 | Coluna: 11
Token -> Lexema: A | Tipo: Identificador | Linha: 20 | Coluna: 13
Token -> Lexema: * | Tipo: Operador Aritmetico | Linha: 20 | Coluna: 14
Token -> Lexema: b | Tipo: Identificador | Linha: 20 | Coluna: 15
Token -> Lexema: - | Tipo: Operador Aritmetico | Linha: 20 | Coluna: 16
Token -> Lexema: c | Tipo: Identificador | Linha: 20 | Coluna: 17
Token -> Lexema: / | Tipo: Operador Aritmetico | Linha: 20 | Coluna: 18
Token -> Lexema: ( | Tipo: Delimitador | Linha: 20 | Coluna: 19
Token -> Lexema: - | Tipo: Operador Aritmetico | Linha: 20 | Coluna: 20
Token -> Lexema: c | Tipo: Identificador | Linha: 20 | Coluna: 21
Token -> Lexema: ) | Tipo: Delimitador | Linha: 20 | Coluna: 22
Token -> Lexema: ; | Tipo: Delimitador | Linha: 20 | Coluna: 23
Token -> Lexema: fim | Tipo: Palavra Reservada | Linha: 21 | Coluna: 5
Token -> Lexema: AJSHD | Tipo: Identificador | Linha: 22 | Coluna: 5
Token -> Lexema: ( | Tipo: Delimitador | Linha: 22 | Coluna: 10
Token -> Lexema: a | Tipo: Identificador | Linha: 22 | Coluna: 11
Token -> Lexema: , | Tipo: Delimitador | Linha: 22 | Coluna: 12
Token -> Lexema: b | Tipo: Identificador | Linha: 22 | Coluna: 13
Token -> Lexema: , | Tipo: Delimitador | Linha: 22 | Coluna: 14
Token -> Lexema: 10 | Tipo: Numero | Linha: 22 | Coluna: 15
Token -> Lexema: , | Tipo: Delimitador | Linha: 22 | Coluna: 17
Token -> Lexema: verdadeiro | Tipo: Palavra Reservada | Linha: 22 | Coluna: 18
Token -> Lexema: ) | Tipo: Delimitador | Linha: 22 | Coluna: 28
Token -> Lexema: ; | Tipo: Delimitador | Linha: 22 | Coluna: 29
Token -> Lexema: a | Tipo: Identificador | Linha: 23 | Coluna: 5
Token -> Lexema: / | Tipo: Operador Aritmetico | Linha: 23 | Coluna: 6
Token -> Lexema: * | Tipo: Operador Aritmetico | Linha: 23 | Coluna: 7
Token -> Lexema: f | Tipo: Identificador | Linha: 23 | Coluna: 8
Token -> Lexema: * | Tipo: Operador Aritmetico | Linha: 23 | Coluna: 9
Token -> Lexema: / | Tipo: Operador Aritmetico | Linha: 23 | Coluna: 10
Token -> Lexema: = | Tipo: Operador Relacional | Linha: 23 | Coluna: 12
Token -> Lexema: s | Tipo: Identificador | Linha: 23 | Coluna: 14
Token -> Lexema: ; | Tipo: Delimitador | Linha: 23 | Coluna: 15
Token -> Lexema: fim | Tipo: Palavra Reservada | Linha: 24 | Coluna: 1
Token -> Lexema: ( | Tipo: Delimitador | Linha: 24 | Coluna: 4
Token -> Lexema: ) | Tipo: Delimitador | Linha: 24 | Coluna: 5
Token -> Lexema: ; | Tipo: Delimitador | Linha: 24 | Coluna: 6
Token -> Lexema: funcao | Tipo: Palavra Reservada | Linha: 25 | Coluna: 1
Token -> Lexema: inteiro | Tipo: Palavra Reservada | Linha: 25 | Coluna: 8
Token -> Lexema: a | Tipo: Identificador | Linha: 25 | Coluna: 16
Token -> Lexema: ( | Tipo: Delimitador | Linha: 25 | Coluna: 17
Token -> Lexema: inteiro | Tipo: Palavra Reservada | Linha: 25 | Coluna: 18
Token -> Lexema: v | Tipo: Identificador | Linha: 25 | Coluna: 26
Token -> Lexema: , | Tipo: Delimitador | Linha: 25 | Coluna: 27
Token -> Lexema: cadeia | Tipo: Palavra Reservada | Linha: 25 | Coluna: 29
Token -> Lexema: s | Tipo: Identificador | Linha: 25 | Coluna: 36
Token -> Lexema: ) | Tipo: Delimitador | Linha: 25 | Coluna: 37
Token -> Lexema: inicio | Tipo: Palavra Reservada | Linha: 25 | Coluna: 39
Token -> Lexema: A | Tipo: Identificador | Linha: 26 | Coluna: 5
Token -> Lexema: / | Tipo: Operador Aritmetico | Linha: 26 | Coluna: 6
Token -> Lexema: * | Tipo: Operador Aritmetico | Linha: 26 | Coluna: 7
Token -> Lexema: b | Tipo: Identificador | Linha: 26 | Coluna: 8
Token -> Lexema: * | Tipo: Operador Aritmetico | Linha: 26 | Coluna: 9
Token -> Lexema: / | Tipo: Operador Aritmetico | Linha: 26 | Coluna: 10
Token -> Lexema: = | Tipo: Operador Relacional | Linha: 26 | Coluna: 12
Token -> Lexema: k | Tipo: Identificador | Linha: 26 | Coluna: 14
Token -> Lexema: * | Tipo: Operador Aritmetico | Linha: 26 | Coluna: 15
Token -> Lexema: B | Tipo: Identificador | Linha: 26 | Coluna: 16
Token -> Lexema: / | Tipo: Operador Aritmetico | Linha: 26 | Coluna: 17
Token -> Lexema: * | Tipo: Operador Aritmetico | Linha: 26 | Coluna: 18
Token -> Lexema: b | Tipo: Identificador | Linha: 26 | Coluna: 19
Token -> Lexema: * | Tipo: Operador Aritmetico | Linha: 26 | Coluna: 20
Token -> Lexema: / | Tipo: Operador Aritmetico | Linha: 26 | Coluna: 21
Token -> Lexema: - | Tipo: Operador Aritmetico | Linha: 26 | Coluna: 22
Token -> Lexema: C | Tipo: Identificador | Linha: 26 | Coluna: 23
Token -> Lexema: ( | Tipo: Delimitador | Linha: 26 | Coluna: 24
Token -> Lexema: f | Tipo: Identificador | Linha: 26 | Coluna: 25
Token -> Lexema: ) | Tipo: Delimitador | Linha: 26 | Coluna: 26
Token -> Lexema: ; | Tipo: Delimitador | Linha: 26 | Coluna: 27
Token -> Lexema: fim | Tipo: Palavra Reservada | Linha: 27 | Coluna: 1
Token -> Lexema: ( | Tipo: Delimitador | Linha: 27 | Coluna: 4
Token -> Lexema: a | Tipo: Identificador | Linha: 27 | Coluna: 5
Token -> Lexema: > | Tipo: Operador Relacional | Linha: 27 | Coluna: 6
Token -> Lexema: b | Tipo: Identificador | Linha: 27 | Coluna: 7
Token -> Lexema: ) | Tipo: Delimitador | Linha: 27 | Coluna: 8
Token -> Lexema: ; | Tipo: Delimitador | Linha: 27 | Coluna: 9

Sucesso! Não existem erros léxicos
